S1223
  1.00000  0.00000
  0.99634  0.00131
  0.98548  0.00502
  0.96798  0.01078
  0.94469  0.01816
  0.91618  0.02681
  0.88301  0.03645
  0.84571  0.04686
  0.80480  0.05784
  0.76079  0.06916
  0.71420  0.08057
  0.66554  0.09177
  0.61533  0.10247
  0.56409  0.11231
  0.51236  0.12095
  0.46068  0.12801
  0.40961  0.13315
  0.35969  0.13607
  0.31147  0.13653
  0.26547  0.13441
  0.22216  0.12968
  0.18198  0.12244
  0.14531  0.11289
  0.11246  0.10132
  0.08371  0.08812
  0.05924  0.07371
  0.03920  0.05855
  0.02367  0.04313
  0.01268  0.02796
  0.00614  0.01378
  0.00382  0.00155
  0.00537  -0.00859
  0.01050  -0.01667
  0.01894  -0.02276
  0.03048  -0.02707
  0.04494  -0.02984
  0.06218  -0.03131
  0.08202  -0.03170
  0.10433  -0.03120
  0.12896  -0.02999
  0.15575  -0.02823
  0.18452  -0.02606
  0.21511  -0.02362
  0.24732  -0.02102
  0.28097  -0.01837
  0.31586  -0.01574
  0.35181  -0.01321
  0.38861  -0.01085
  0.42609  -0.00870
  0.46406  -0.00680
  0.50233  -0.00517
  0.54073  -0.00381
  0.57908  -0.00272
  0.61722  -0.00188
  0.65500  -0.00127
  0.69226  -0.00085
  0.72887  -0.00060
  0.76471  -0.00047
  0.79966  -0.00044
  0.83362  -0.00048
  0.86650  -0.00054
  0.89821  -0.00059
  0.92869  -0.00058
  0.95785  -0.00047
  0.98165  -0.00024
  1.00000  0.00000
