E387
  1.00000  0.00000
  0.99671  0.00057
  0.98707  0.00218
  0.97194  0.00463
  0.95169  0.00770
  0.92675  0.01127
  0.89753  0.01522
  0.86447  0.01947
  0.82803  0.02396
  0.78864  0.02862
  0.74676  0.03337
  0.70286  0.03812
  0.65739  0.04276
  0.61082  0.04718
  0.56361  0.05125
  0.51621  0.05485
  0.46906  0.05787
  0.42261  0.06019
  0.37729  0.06172
  0.33349  0.06239
  0.29160  0.06216
  0.25194  0.06102
  0.21479  0.05899
  0.18039  0.05614
  0.14892  0.05255
  0.12052  0.04833
  0.09528  0.04360
  0.07324  0.03847
  0.05442  0.03307
  0.03877  0.02754
  0.02620  0.02200
  0.01658  0.01662
  0.00972  0.01155
  0.00541  0.00697
  0.00340  0.00314
  0.00340  -0.00070
  0.00541  -0.00348
  0.00972  -0.00538
  0.01658  -0.00657
  0.02620  -0.00727
  0.03877  -0.00765
  0.05442  -0.00787
  0.07324  -0.00801
  0.09528  -0.00811
  0.12052  -0.00816
  0.14892  -0.00814
  0.18039  -0.00802
  0.21479  -0.00778
  0.25194  -0.00738
  0.29160  -0.00681
  0.33349  -0.00607
  0.37729  -0.00517
  0.42261  -0.00413
  0.46906  -0.00298
  0.51621  -0.00177
  0.56361  -0.00054
  0.61082  0.00065
  0.65739  0.00175
  0.70286  0.00273
  0.74676  0.00354
  0.78864  0.00416
  0.82803  0.00456
  0.86447  0.00473
  0.89753  0.00464
  0.92675  0.00428
  0.95169  0.00364
  0.97194  0.00274
  0.98707  0.00163
  0.99671  0.00058
  1.00000  0.00000
